Year, Winner, Score, Runner-Up,Final Stadium,Final Place,Final Spectators
1930,Uruguay,4_2,Argentina,Estadio Centenario,Montevideo_Uruguay,68346
1934,Italy,2_1 (a.e.t.),Czechoslovakia,Stadio Nazionale PNF, Rome_Italy,55000 
1938,Italy,4_2, Hungary, Stade Olympique de Colombes, Paris_France,45000
1950,Uruguay,2_1[tournament of three],Brazil,Maracana Stadium,Rio de Janeiro_Brazil,173850
1954,West Germany,3_2,Hungary,Wankdorf Stadium, Bern_Switzerland,62500
1958,Brazil,5_2,Sweden,Rasunda Stadium,Solna_Sweden,49737 
1962,Brazil,3_1,Czechoslovakia,Estadio Nacional,Santiago_Chile,68679
1966,England,4_2(a.e.t.),West Germany,Wembley Stadium,London_England,96924
1970,Brazil,4_1,Italy,Estadio Azteca,Mexico City_Mexico,107412
1974,West Germany,2_1,Netherlands,Olympiastadion,Munich_West Germany,78200
1978,Argentina,3_1 (a.e.t.),Netherlands,Estadio Monumental,Buenos Aires_Argentina,71483
1982,Italy,3_1,West Germany,Santiago Bernabeu,Madrid_Spain,90000
1986,Argentina,3_2,West Germany,Estadio Azteca,Mexico City_Mexico,114600
1990,West Germany,1_0,Argentina,Stadio Olimpico,Rome_Italy,73603
1994,Brazil,0_0 (a.e.t.)(3_2 pen.),Italy,Rose Bowl,Pasadena_California_United States,94194
1998,France,3_0,Brazil,Stade de France,Saint Denis_France,80000
2002,Brazil,2_0,Germany,International Stadium,Yokohama_Japan,69029
2006,Italy,1_1 (a.e.t.) (5_3 pen.),France,Olympiastadion,Berlin_Germany,69000
2010,Spain,1_0 (a.e.t.),Netherlands,Soccer City,Johannesburg_South Africa,84490
2014,Germany,1_0 (a.e.t.),Argentina,Maracana Stadium,Rio de Janeiro_Brazil,74738
2018,France,4_2,Croatia,Luzhniki Stadium,Moscow_Russia,78011
2022,Argentina,3_3 (a.e.t.) (4_2 pen.),France,Lusail Stadium,Lusail_Qatar,88966